sub_code,E,I,S,N,T,F,J,P
A050,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
A060,0.5000000000000002,0.5000000000000001,0.5000000000000006,0.0,0.5000000000000002,0.5000000000000001,0.49999999999999994,1.0
A070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A080,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
A090,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
A990,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
B010,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
B020,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
B030,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
B040,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
B050,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
B060,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
B990,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
C000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C010,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
C020,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
C030,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
C035,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
C040,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
C050,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
C060,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
C990,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
D010,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
D020,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
D030,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
D040,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
D050,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
D060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E000,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
E010,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
E020,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
E030,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
E040,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
E050,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
E060,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
E070,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
